Dia Mau;Ornatos Violeta;Rock;200;ab67616d0000b273c43c10e473664ca39ab1febc.jpg;dia-mau.mp3
Fui MLK;Nilo e MC Paiva;Funk;2;fui_mlk_arte.png;Fui Mlk - Nilo e MC Paiva (Clipe Oficial) Prod. DJ Di Marques e Kyo.mp3
Spaceman;Hardwell;Electronic;101;hardwell_music_arte.png;Hardwell - Spaceman (Original Mix).mp3
ACID;Hardwell e Maddix;Electronic;102;acid_arte.png;Hardwell & Maddix feat. Luciana - ACID (Official Visualizer).mp3
Jubel;Klingande;Electronic;104;jubel_arte.png;Klingande - Jubel (Official Video HD).mp3
Don't Worry;Madcon;Electronic;10;dont_worry_arte.png;Madcon - Don't Worry Ft. Ray Dalton (audio).mp3
Heute Nacht;Maddix;Electronic;120;heute_nacht_arte.png;Maddix - Heute Nacht (Techno).mp3
Sem Chão;Mandragora;Electronic;101;sem_chao_arte.png;Mandragora - Sem Chão.mp3
Amor de Ganga;Miguel Luz;Pop;102;amor_de_ganga_arte.png;Miguel Luz - Amor De Ganga.mp3
Sexbomb;Mousse T;Electronic;101;sexbomb_arte.png;Tom Jones & Mousse T  - Sexbomb (Official Music Video).mp3
La espanholita;Mandragora;Electronic;101;mandragora_arte.png;UNLOGIX - LA ESPANOLITA    (mandragora-la espanolita - unlogix rmx).mp3Free Bird;Lynyrd Skynyrd;Rock;0;images.jpg;free-bird-official-audio.mp3
Free Bird;Lynyrd Skynyrd;Pop;0;images.jpg;free-bird-official-audio.mp3
